"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1977","1977","IDX","Index","0","Units","2015_100","2015=100",18.85303,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1978","1978","IDX","Index","0","Units","2015_100","2015=100",20.3622,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1979","1979","IDX","Index","0","Units","2015_100","2015=100",22.21964,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1980","1980","IDX","Index","0","Units","2015_100","2015=100",24.47179,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1981","1981","IDX","Index","0","Units","2015_100","2015=100",26.79359,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1982","1982","IDX","Index","0","Units","2015_100","2015=100",29.83515,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1983","1983","IDX","Index","0","Units","2015_100","2015=100",32.83028,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1984","1984","IDX","Index","0","Units","2015_100","2015=100",34.13049,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1985","1985","IDX","Index","0","Units","2015_100","2015=100",36.42907,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1986","1986","IDX","Index","0","Units","2015_100","2015=100",39.72603,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1987","1987","IDX","Index","0","Units","2015_100","2015=100",43.11586,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1988","1988","IDX","Index","0","Units","2015_100","2015=100",46.22707,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1989","1989","IDX","Index","0","Units","2015_100","2015=100",49.70977,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1990","1990","IDX","Index","0","Units","2015_100","2015=100",53.355,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1991","1991","IDX","Index","0","Units","2015_100","2015=100",55.04992,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1992","1992","IDX","Index","0","Units","2015_100","2015=100",55.60715,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1993","1993","IDX","Index","0","Units","2015_100","2015=100",56.58231,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1994","1994","IDX","Index","0","Units","2015_100","2015=100",57.69677,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1995","1995","IDX","Index","0","Units","2015_100","2015=100",60.36684,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1996","1996","IDX","Index","0","Units","2015_100","2015=100",61.94567,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1997","1997","IDX","Index","0","Units","2015_100","2015=100",62.08498,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1998","1998","IDX","Index","0","Units","2015_100","2015=100",62.61899,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1999","1999","IDX","Index","0","Units","2015_100","2015=100",63.54771,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",66.38031,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",69.30578,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",71.37218,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",73.32249,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",75.04063,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",77.0606,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",79.80032,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",81.65777,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",85.21012,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",86.71929,,
