"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","1996","1996","PC","Percentage","0","Units",,,6.18,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","1997","1997","PC","Percentage","0","Units",,,5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","1998","1998","PC","Percentage","0","Units",,,4.76,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","1999","1999","PC","Percentage","0","Units",,,5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","2000","2000","PC","Percentage","0","Units",,,6.25,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.28,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","2002","2002","PC","Percentage","0","Units",,,4.75,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","2003","2003","PC","Percentage","0","Units",,,5.23,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","2004","2004","PC","Percentage","0","Units",,,5.25,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","2005","2005","PC","Percentage","0","Units",,,5.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","2006","2006","PC","Percentage","0","Units",,,6.25,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","2007","2007","PC","Percentage","0","Units",,,6.75,,
